"Net generation for petroleum liquids Net generation : petroleum liquids : all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/0?agg=1,0,2&fuel=4&geo=vvvvvvvvvvvvo&sec=o3g&linechart=ELEC.GEN.PEL-NY-99.M~ELEC.GEN.PEL-FL-99.M~ELEC.GEN.PEL-HI-99.M~ELEC.GEN.PEL-US-99.M&columnchart=ELEC.GEN.PEL-NY-99.M~ELEC.GEN.PEL-FL-99.M~ELEC.GEN.PEL-HI-99.M~ELEC.GEN.PEL-US-99.M&map=ELEC.GEN.PEL-US-99.M&freq=M&start=200101&end=202107&ctype=map&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Mon Oct 18 2021 13:17:19 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
Units: thousand megawatthours
,200101,200102,200103,200104,200105,200106,200107,200108,200109,200110,200111,200112,200201,200202,200203,200204,200205,200206,200207,200208,200209,200210,200211,200212,200301,200302,200303,200304,200305,200306,200307,200308,200309,200310,200311,200312,200401,200402,200403,200404,200405,200406,200407,200408,200409,200410,200411,200412,200501,200502,200503,200504,200505,200506,200507,200508,200509,200510,200511,200512,200601,200602,200603,200604,200605,200606,200607,200608,200609,200610,200611,200612,200701,200702,200703,200704,200705,200706,200707,200708,200709,200710,200711,200712,200801,200802,200803,200804,200805,200806,200807,200808,200809,200810,200811,200812,200901,200902,200903,200904,200905,200906,200907,200908,200909,200910,200911,200912,201001,201002,201003,201004,201005,201006,201007,201008,201009,201010,201011,201012,201101,201102,201103,201104,201105,201106,201107,201108,201109,201110,201111,201112,201201,201202,201203,201204,201205,201206,201207,201208,201209,201210,201211,201212,201301,201302,201303,201304,201305,201306,201307,201308,201309,201310,201311,201312,201401,201402,201403,201404,201405,201406,201407,201408,201409,201410,201411,201412,201501,201502,201503,201504,201505,201506,201507,201508,201509,201510,201511,201512,201601,201602,201603,201604,201605,201606,201607,201608,201609,201610,201611,201612,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107
"US-AK",71.085,67.91,91.413,76.372,75.034,58.095,63.515,67.181,71.144,91.507,98.718,105.016,108.569,96.178,98.049,69.661,71.159,99.827,65.804,65.45,69.469,74.921,67.54,75.742,75.785,66.09,59.334,60.237,59.373,57.786,70.637,65.888,70.771,79.164,77.913,103.295,92.40153,79.32443,71.81667,53.95209,49.76225,47.23449,67.02292,66.20401,58.26115,55.58111,48.90898,56.59843,103.22754,57.83815,50.79228,48.07031,54.84875,61.87417,56.65939,62.29252,50.93491,62.6382,65.88575,83.86657,88.56991,61.55435,66.67966,62.80302,55.91535,56.63328,67.28157,73.72681,49.82228,54.53537,68.79612,61.6702,70.425,54.135,107.65595,65.32073,60.23948,58.80055,86.77403,109.69607,90.88904,110.00634,80.31768,115.73036,124.90147,114.19429,76.17535,77.02526,80.57381,54.30825,55.59118,55.27399,57.70536,65.84757,80.24058,136.07759,160.44858,117.5633,122.07317,125.37509,74.82577,73.45357,83.03693,82.5442,54.67854,54.02874,103.68027,105.17359,123.59773,97.96245,86.4804,76.51967,63.76646,49.54708,56.96445,58.13645,53.17944,64.09923,73.03667,133.76589,113.54756,101.5772,88.6311,57.22351,59.889,55.70887,58.92637,53.19644,58.87614,104.73065,96.94867,95.74279,115.56103,67.51805,102.91475,64.29706,81.20441,66.1253,103.999,96.80559,90.34185,66.66561,71.56649,110.76246,95.14893,65.42053,66.12177,76.37057,76.83136,54.99219,52.03547,51.1831,60.39504,57.99037,76.00394,86.15884,46.25507,43.91545,42.8113,40.14609,33.66675,20.22018,35.68518,28.90863,33.83189,44.80941,32.86104,42.51047,77.28538,68.11082,68.49272,70.85789,56.70033,56.32375,58.69404,66.83584,59.8797,68.66394,48.30567,46.41699,67.1811,74.78654,70.70877,57.69303,52.85519,52.91186,44.77914,58.47162,59.11568,68.3003,95.30497,129.22146,106.36518,78.85789,87.79356,60.72503,60.27102,63.53667,72.5754,72.96469,66.78844,67.56706,69.46527,73.77217,84.52936,71.47121,65.33318,62.07321,62.60925,53.26075,61.75641,67.8927,66.15004,68.47182,63.17418,82.55636,64.49225,71.36469,70.44869,65.3904,70.0256,60.05684,68.24377,75.78119,90.44948,95.72999,72.76838,96.44485,110.16421,78.11778,75.86231,71.04863,61.53595,74.60954,92.48151,91.95604,73.66398,85.76465,62.17804,67.59335,56.1799,69.29016,73.10449,67.5823,42.31653,54.29982,53.78993
"US-AL",107.497,35.394,40.39,85.539,31.56,18.973,17.031,18.437,14.358,18.025,17.582,29.763,61.362,29.249,29.919,19.185,46.197,16.191,15.591,13.356,13.14,23.389,18.499,25.972,56.865,13.999,21.279,19.845,58.174,51.671,13.537,20.255,18.328,19.917,14.237,28.537,29.80256,17.04255,17.79675,21.77613,24.74427,26.64959,28.38989,19.57326,21.77456,24.72901,28.84858,33.8978,49.26862,19.5722,18.0295,24.51988,19.65357,22.04513,25.75326,26.40571,29.56402,22.75741,24.98029,50.56074,24.84484,17.8138,16.2207,16.34862,13.71285,10.89258,12.07827,14.33245,6.85523,12.6137,15.41254,19.04043,14.71232,17.84972,14.22963,13.82485,22.52913,13.41624,9.31771,11.73274,7.42265,9.038,7.92214,14.92676,35.49532,12.1389,12.2258,17.80843,13.61535,16.94112,14.38915,16.10962,16.21098,15.28072,19.01635,15.03313,28.6572,23.32118,21.47644,14.64994,12.37752,14.26486,17.59859,14.43916,13.31165,17.20594,16.97458,24.99662,37.32338,14.11682,13.98432,17.09495,14.06905,10.81203,14.75011,12.80752,9.98772,13.7421,15.14067,26.02488,13.81385,12.74792,9.49049,11.04889,13.87275,9.44934,7.49103,8.13149,8.37116,6.48349,5.64577,13.83784,17.11618,5.33525,7.20691,7.53087,7.93988,11.27151,6.79457,6.91564,6.06934,13.38045,7.93396,12.08862,9.99836,8.09415,5.56363,7.60398,5.99331,6.6104,5.62512,5.23756,3.8083,5.35076,4.55254,5.69286,35.28918,9.40722,5.98267,10.36719,5.21058,8.10873,2.71356,3.64027,7.01561,2.87819,7.94011,-0.4533,15.64452,11.09984,8.1236,4.96831,6.22393,5.40115,4.75917,4.28148,4.42705,4.34233,5.73852,9.19812,11.05897,3.90947,6.18128,1.56524,3.10667,3.82251,2.90763,2.52884,1.98592,3.00298,2.26278,3.50008,6.50142,2.36338,3.91923,1.89024,3.14854,1.92008,2.24046,2.65712,1.7968,2.72007,0.94318,5.60735,38.16855,-0.13614,1.62503,1.02768,0.70207,3.93173,5.80116,2.75077,2.06542,2.23324,2.01133,5.52272,3.48201,1.19483,1.26672,1.55437,2.22392,1.07707,1.59626,1.01883,1.47398,0.918,3.289,0.82488,,,1.12454,,,1.81644,0.77276,,,0.85252,,1.95226,2.926,,,,,1.93138,
"US-AR",124.389,59.71,61.015,49.101,45.275,29.903,49.169,121.65,61.329,4.213,4.835,268.803,26.872,11.293,12.804,4.88,10.884,2.54,5.91,2.047,11.805,10.779,10.147,49.743,48.503,32.95,18.416,6.707,3.96,14.747,43.778,48.035,14.34,3.225,6.562,47.683,35.28146,42.05996,65.99311,64.28872,69.36565,34.17197,35.87277,23.25251,41.75136,48.21949,18.13721,60.54716,17.93817,9.92572,12.92665,14.27627,20.9697,16.57463,21.46974,22.12458,20.66612,14.47277,12.69501,19.21176,12.7893,8.62044,9.04601,12.08703,14.23126,14.3798,14.74914,23.16707,11.87148,11.15205,15.06275,12.35416,16.07853,22.5985,5.79527,3.69334,5.35939,14.89943,7.25384,5.06019,1.24263,1.25382,6.55084,4.36699,2.76478,2.19538,8.37717,3.10529,4.19905,6.44531,2.61552,1.57694,0.58643,1.07793,8.33295,22.34855,27.31143,7.84751,16.42382,4.05793,7.06086,6.81822,1.39314,2.89569,3.35491,3.94802,0.85806,6.50006,13.26366,1.65926,3.91679,1.95575,1.50272,1.19766,1.72748,1.63397,2.38292,5.40824,3.67891,6.85207,3.6705,10.56657,4.07461,5.38738,4.35538,2.78518,6.06101,1.97197,3.43948,2.96435,3.78103,6.81678,3.22236,1.78899,2.46175,6.53601,1.59301,1.28575,0.63223,1.66503,2.58167,2.77569,4.24915,3.76796,2.98149,2.54629,2.35125,2.18902,7.28972,4.00958,3.66194,1.35967,1.83441,5.61998,2.83376,5.00982,2.36058,2.91502,2.63698,2.3749,2.10383,0.3739,0.84332,3.23174,1.96409,2.34193,3.57982,4.54768,6.14973,4.78765,3.31354,7.63683,6.9925,2.91466,4.23273,2.54572,5.60739,4.85594,4.38692,7.0207,6.68113,0.96037,2.72117,1.06565,4.3703,7.5662,1.44834,1.58739,1.85123,0.88626,6.99259,6.23263,4.99883,8.34159,0.32429,1.43182,7.25834,5.72426,4.12876,1.26844,1.56409,5.81086,2.50693,5.62061,5.35042,4.62645,4.73639,3.33027,2.91345,2.05673,1.50818,2.72695,2.27169,3.23451,1.36412,1.39796,5.66164,2.40231,4.61639,3.71931,6.34222,2.82148,3.33084,1.58702,1.9884,3.46188,7.53925,3.67288,1.80734,4.66565,2.09191,5.47036,-1.26186,6.07624,3.77644,3.63787,2.18335,3.13332,4.07299,6.98663,3.30907,10.22714,1.32334,4.37406,8.12724,3.60918,2.57773
"US-AZ",143.626,54.796,49.574,14.489,19.675,7.477,5.189,5.182,3.472,2.158,3.492,5.076,6.197,5.415,6.358,6.5,4.629,4.553,3.203,5.833,3.153,5.96,1.955,3.689,1.756,3.148,6.155,3.247,7.243,3.886,2.939,4.767,3.184,4.37,3.09,4.893,3.39329,1.46508,4.87379,1.45081,2.85271,2.22273,3.57506,3.62464,2.58356,2.28962,7.16273,5.02191,3.93594,5.98615,7.40362,4.95227,3.73503,3.27068,1.53246,1.99051,2.95538,1.91862,2.8113,2.74547,1.30729,3.6481,4.52917,10.93317,2.22114,20.83778,7.39824,5.67616,3.82919,4.69866,3.80504,4.48738,6.44681,5.93931,2.13106,3.96661,4.08407,1.56223,2.62398,4.28159,5.06339,4.35097,3.23774,5.58785,6.66972,5.34088,2.42117,3.24754,4.93812,6.62004,4.74241,3.00984,1.99946,3.1884,4.34349,5.37611,4.37776,1.0569,5.81357,7.08237,4.45222,4.58631,4.89077,3.75595,5.83271,8.19241,7.35228,5.30589,5.66057,6.24029,5.76447,14.02269,5.78169,3.90913,3.64475,5.28916,2.02296,4.63304,5.69103,3.77455,5.63828,3.22398,5.18164,5.11615,6.02414,4.94055,3.32932,3.504,5.41256,3.22097,3.63912,4.01456,2.19956,2.87614,6.4219,4.25943,4.81431,2.5863,2.71582,1.28419,2.51142,5.385,4.74497,2.11288,3.54598,3.63723,5.76476,3.74579,2.49015,2.54733,3.07418,2.45245,4.01752,2.28658,6.99232,2.41049,3.46658,4.11082,16.4888,4.20713,4.69016,5.1167,3.26796,1.66519,2.18823,2.08996,5.0794,4.49121,6.00189,5.08933,3.17025,5.92588,3.67828,4.25403,0.85634,3.01052,5.89647,3.23174,3.6875,3.3158,2.51267,1.95375,8.51625,10.05554,3.93766,3.05481,3.8364,1.85164,3.74281,3.80625,5.10255,3.22431,6.86668,6.08467,2.37625,4.35687,3.74412,6.19318,5.77155,2.6255,2.77898,4.9931,4.99644,5.94188,5.30525,5.42172,3.82356,5.31079,4.35749,3.83937,3.09765,4.64233,1.94937,6.12395,4.18147,1.89298,5.01821,6.59448,3.29649,7.83915,6.38125,5.85327,3.76346,4.06919,4.38821,2.52332,3.3565,10.66439,2.52913,3.17337,3.1329,2.09745,2.85482,4.08631,3.40336,2.19072,5.00237,2.60851,4.57299,4.78134,2.5068,4.82358,3.12609,4.73998,4.26087,2.63988,6.97361
"US-CA",263.922,175.649,119.553,90.016,103.191,55.434,47.045,19.504,15.854,15.356,15.158,14.561,8.478,17.693,6.819,16.41,6.899,4.449,7.883,6.905,12.048,9.428,21.996,12.428,7.121,6.129,27.687,24.439,22.322,57.817,68.794,81.081,48.009,34.534,13.041,5.11,12.71004,11.13164,27.75389,33.10797,12.26163,6.46755,23.12599,6.64395,10.93979,8.75149,8.42177,10.68206,21.13034,8.11047,13.00881,23.2015,27.11334,9.63071,52.4992,65.8232,12.0581,5.42009,6.67056,12.02885,5.43463,10.00003,4.58286,11.0813,38.18601,27.00157,37.84373,50.29615,34.96356,22.45132,19.87179,10.44014,13.81903,6.07598,14.054,59.00206,53.50651,36.93143,29.3977,36.9028,4.32221,9.46686,4.58398,9.82486,6.4111,9.39966,24.21186,16.91467,7.93518,5.31632,4.96971,4.80085,16.41816,9.26301,4.85447,51.56944,11.11495,11.28763,28.60145,17.59343,5.57294,12.34656,5.06249,14.14755,10.9463,6.34572,5.9075,7.6891,3.79298,4.38418,3.82476,3.27006,3.00264,7.46304,4.04229,3.02873,4.42131,6.69915,3.80761,5.92193,3.18082,3.2877,3.81683,2.63826,2.97756,2.95689,4.95512,5.40558,8.1763,3.09283,3.12535,3.0094,7.11947,12.52503,8.19658,18.24446,8.77896,14.96693,8.63532,11.5769,10.79605,15.02812,8.73303,9.45752,2.84497,2.65973,3.12515,4.95865,8.29393,2.96356,4.12695,4.15384,4.22557,2.88963,3.03301,4.74588,4.91844,2.62295,2.75445,2.8241,5.02375,3.30502,4.26532,4.10584,6.3936,4.32824,2.97446,3.929,4.48965,2.70019,2.58264,4.49585,19.99216,17.66328,5.08304,5.32404,7.19562,5.99539,3.29278,5.70026,3.24392,2.61524,3.08559,3.25164,19.73195,14.12603,16.32614,4.96941,10.8785,5.71781,2.64863,5.19121,3.78891,7.51802,3.32609,3.51152,3.27722,3.25321,3.39978,3.2869,4.7945,3.57143,2.89506,3.17357,2.75787,9.19873,3.10739,2.61916,6.35503,4.44187,23.57826,3.6744,2.92092,3.50248,2.70738,4.01489,3.0609,4.4269,3.37853,9.72685,2.85904,2.95196,3.25615,3.90951,3.05971,7.31223,3.18138,3.82976,4.0667,3.20851,3.57114,2.39166,3.41931,5.28412,4.5885,6.67201,3.753,4.00987,3.52492,2.92651,3.07474,27.62972,4.67042,3.04222,7.19116,3.50425,3.78254
"US-CO",20.51,23.43,27.538,31.213,26.574,10.393,9.308,6.187,1.975,4.654,3.783,10.663,1.092,2.858,4.367,2.032,0.259,3.017,2.855,0.859,0.965,0.548,2.945,1.384,2.156,5.981,3.234,2.746,4.682,4.174,2.984,1.166,1.845,0.582,1.603,2.84,1.43391,1.5999,1.62865,0.89002,1.42786,0.9537,0.39581,0.81136,0.43783,1.65182,0.44439,2.19252,1.38678,0.98832,0.91308,0.92976,1.17317,0.74625,1.37218,1.47854,1.75336,0.73849,3.63728,1.92855,1.29439,2.96757,1.03125,1.20798,1.6266,1.80521,3.0436,2.16601,1.38318,0.92066,1.68658,1.70361,1.36096,1.06423,0.61302,3.54141,11.48696,1.96575,1.20686,1.91035,1.51298,1.29796,0.98983,1.49923,2.54598,1.57171,1.12099,1.87715,4.15724,0.48574,0.40083,0.81781,2.03265,0.6519,1.7724,1.67845,1.22221,0.19306,0.6209,0.86175,1.49222,1.03121,1.00803,1.35421,0.76515,2.83398,0.79203,1.27835,3.01537,0.87887,1.60013,1.46475,1.59566,1.66198,0.29017,0.80048,0.56381,1.06461,0.51601,4.03039,0.96384,0.786,1.04303,6.83579,0.46608,3.01736,1.10277,2.00566,0.84733,1.37441,0.9834,2.79274,0.53697,0.75438,1.18344,1.54628,0.84036,0.72252,0.12489,0.07157,0.73788,1.64981,1.24463,1.63247,1.48502,0.43867,1.17783,0.54827,0.07738,0.82556,0.9484,0.52505,0.53065,0.89518,1.56102,1.17932,0.56544,0.46565,0.51672,0.51616,1.27284,0.63886,0.09056,0.52002,0.57666,2.59543,0.25639,1.91732,0.64659,1.00353,0.44079,0.29382,0.64296,,0.63896,0.28754,0.45008,0.19698,0.71515,1.02485,0.21785,1.76157,0.34687,0.03694,0.62902,0.37129,0.44134,0.26299,0.41609,0.54121,1.29583,0.65352,0.17404,0.34367,1.12487,0.19792,0.99293,0.28094,0.57449,0.81675,0.53068,0.94727,0.49925,0.76585,1.57208,1.04449,0.92294,0.89759,0.81399,1.35378,0.95449,0.59412,0.60428,0.90329,2.61106,-0.38968,0.99411,1.1848,0.79388,0.99271,0.47955,0.49852,0.68414,0.49496,1.04153,0.3808,0.48047,-0.06349,,,0.62396,0.55855,,,,,,,1.54597,0.83777,,,0.66694,0.43113,1.44687,0.64273,0.79708
"US-CT",923.93,485.208,804.686,293.881,390.953,449.051,303.243,635.643,151.576,200.237,141.757,392.769,282.358,188.967,299.513,125.91,122.465,93.466,266.156,346.604,239.706,219.477,100.722,52.542,382.609,353.095,238.293,51.312,17.051,111.589,223.809,240.318,34.757,44.258,123.966,241.613,675.30289,53.34955,92.08274,84.29589,49.81026,126.3359,139.31715,179.04539,68.68576,42.35895,23.42114,206.10651,526.68962,63.9897,244.37004,198.05201,17.02129,276.47062,336.9445,402.77115,285.82677,450.15535,51.21593,302.33525,37.66684,51.94179,47.70013,29.63835,42.05392,103.00166,222.55297,185.35894,99.36701,200.48018,164.56609,94.50585,178.10576,206.09148,187.05967,60.79282,62.04147,84.57484,85.17124,100.46798,70.05985,87.38028,13.40618,176.10743,33.67426,40.72767,89.28051,36.37685,32.96073,78.52908,63.53781,14.52494,10.09043,11.22957,9.79036,93.12822,166.82413,0.65049,10.9102,9.48391,-0.78517,5.65815,21.99047,58.34619,3.17324,1.49037,3.69826,17.43749,8.91762,8.32562,11.9373,6.4521,39.85096,34.44826,124.36237,81.85807,63.22719,-0.09812,5.36824,24.28192,53.28744,7.83611,4.58205,0.54583,0.64296,21.8052,36.21262,20.40809,12.08211,1.52867,5.2811,1.59783,0.32047,0.91642,6.11697,1.91935,8.48626,35.04567,28.62483,14.01727,2.45515,8.59164,3.52377,1.71506,92.82681,65.72011,0.58923,0.59429,0.80908,4.97082,38.95034,7.10401,3.53663,0.23279,2.74354,87.97443,297.78763,85.80292,97.16265,-0.34785,-0.06215,1.84738,3.83002,9.19167,3.55787,0.99854,2.69529,10.95008,11.59983,371.75782,2.60685,6.59998,3.80069,-2.48338,20.32017,6.95852,14.62295,1.53766,-2.6401,2.11067,5.46541,1.87001,-0.77085,1.0947,15.61981,1.8868,15.63037,29.70438,4.21644,-1.05492,2.4574,15.61501,5.49174,3.19607,7.88814,1.37636,1.02881,9.51244,8.44525,7.16794,2.65808,3.68857,1.26197,126.72206,281.81651,-0.49027,-1.37779,0.02348,2.43637,37.56957,8.39216,6.97736,2.7121,-0.90715,2.45776,-0.65281,3.63351,-0.23793,1.09473,0.89461,0.04729,2.21124,1.92013,0.23045,0.68132,0.96712,0.23503,0.51822,0.29977,,,-0.02516,0.52224,1.90245,3.6643,3.08427,1.47454,0.63627,,2.6132,3.39366,,,1.91961,,3.35977,0.24408
"US-DC",9.251,,,0.766,5.921,0.488,24.107,47.587,,3.497,31.622,,-1.033,4.729,11.399,22.998,-0.616,30.828,101.334,85.726,3.17,-0.565,0.421,3.589,9.933,12.549,13.086,0.764,1.614,3.552,10.741,24.567,-0.599,-0.625,-0.645,-0.793,15.82,1.829,0.549,-0.563,2.674,6.154,1.68,4.605,1.001,-0.634,-0.698,4.07,2.093,0.215,-1.094,-0.599,-0.61,42.336,90.491,75.277,3.973,9.168,0.003,4.789,2.352,1.474,-0.329,0.15,1.706,3.743,22.549,47.754,-0.516,0.553,-0.659,2.69,-0.518,2.682,-0.239,-0.316,-0.318,14.143,11.312,40.581,5.516,3.636,-0.707,-0.521,2.997,1.258,0.401,,,50.119,8.742,5.479,0.579,2.741,,,5.803,2.875,,0.581,0.183,7.917,6.057,11.677,,,,0.406,,,2.326,0.805,23.925,74.421,50.938,23.994,14.703,3.376,,5.37,1.95,,,,3.321,24.421,72.812,25.042,2.129,,,,0.901,,,2.391,6.107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01369,0.03682,0.00419,0.0034,0.00488,0.0064,0.00749,0.00502,0.00281,0.00306,0.00722,0.00344,0.1798,0.09016,0.04837,0.04966,0.05176,0.08112,0.15543,0.12931,0.04579,0.05519,0.05903,0.05496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"US-DE",131.245,61.391,236.822,202.202,169.791,136.374,149.647,230.568,48.895,166.459,103.164,45.73,42.405,41.061,112.079,78.104,24.197,69.315,169.591,144.499,59.597,74.731,27.34,55.108,302.062,292.029,198.374,123.012,44.652,83.761,238.428,191.698,86.783,44.012,28.514,16.012,363.69672,75.59334,44.05032,128.80126,44.90505,71.85302,89.57365,63.0309,24.63254,12.96246,24.92476,159.55373,254.02729,55.22728,37.17291,33.59133,33.90429,127.11365,205.78433,137.36725,72.57809,47.45023,26.62964,189.39316,5.84939,4.33818,2.7512,5.5501,3.98398,6.16711,34.01811,44.51679,2.32984,5.66684,8.25842,8.48507,10.02959,52.52166,37.90039,2.58725,9.33066,20.72719,16.87482,44.75873,6.0418,19.94513,7.67136,12.74741,35.67789,9.59789,7.78406,24.07479,4.32506,21.49904,20.50485,10.70868,46.25419,2.63846,2.00886,34.10338,60.7394,47.91734,19.37261,20.70916,26.64886,19.18264,17.92758,28.35558,9.62083,4.54766,1.56529,1.77878,10.44805,6.65689,0.36222,0.70753,2.63026,2.4457,4.0506,3.87403,3.7419,1.40897,1.24372,18.52479,12.43404,1.49911,1.56635,2.93594,2.18874,5.50514,6.02936,1.86434,0.78301,0.23989,0.68052,2.01302,2.62808,0.60062,0.12446,1.79118,1.48935,3.8398,4.9465,1.72786,1.21784,1.07997,1.05471,1.12385,7.39985,0.93097,1.28567,0.62967,1.17414,0.65259,6.06091,0.96764,2.1193,0.29829,0.21372,1.1793,127.46545,15.78544,28.59121,1.40882,0.64917,1.95124,3.60298,0.60928,0.7619,0.02619,0.00327,2.42669,33.94724,93.70985,4.67069,-2.4252,1.80081,3.46368,3.02495,5.48252,1.51924,-1.31867,3.32525,6.93351,23.79859,26.1027,-2.54049,-2.13008,1.43708,1.64294,6.28332,4.36143,1.08171,-1.64581,0.84073,3.33925,1.66881,0.17524,0.49615,0.33577,0.30159,2.60971,1.95214,0.34773,0.53113,0.29809,1.1815,15.51516,190.25579,0.62802,0.11101,-2.45161,1.71404,3.33364,1.99711,1.52475,1.70111,0.17441,0.18669,1.64895,10.74405,0.76072,0.04132,-0.04372,0.2258,0.55222,4.66951,1.10719,0.21461,0.6146,-0.26165,0.09369,,,,,,,3.13051,2.05203,,,1.73097,1.88764,,,3.27706,1.28421,,,2.048
